year,community,crimes_rate
2015,1,0.22034395761856218
2015,2,0.09108256210481896
2015,3,0.12576244870606715
2015,4,0.08792984514106914
2015,5,0.05430086419440423
2015,6,0.058504486812737344
2015,7,0.03958818503023834
2015,8,0.09738799603231864
2015,9,0.024875505866072442
2015,10,0.03223184544815539
2015,11,0.04168999633940489
2015,12,0.029079128484405553
2015,13,0.04168999633940489
2015,14,0.16569686358023172
2015,15,0.10159161865065175
2015,16,0.11945701477856747
2015,17,0.051148147230654396
2015,18,0.04484271330315473
2015,19,0.2529220329106438
2015,20,0.1562387126889822
2015,21,0.16044233530731533
2015,22,0.34855444747772213
2015,23,0.41160878675271884
2015,24,0.29180554213022514
2015,25,0.6491134646885397
2015,26,0.17725682578064778
2015,27,0.1530859957252324
2015,28,0.18356225970814743
2015,29,0.32017999480397363
2015,30,0.38848886235188673
2015,31,0.2277002972006451
2015,32,0.024875505866072442
2015,33,0.06901354335857013
2015,34,0.0364354680664885
2015,35,0.12471154305148387
2015,36,0.06796263770398685
2015,37,0.04799543026690456
2015,38,0.20878399541814613
2015,39,0.06270810943107046
2015,40,0.15098418441606581
2015,41,0.05324995853982095
2015,42,0.15098418441606581
2015,43,0.2476675046377274
2015,44,0.1436278448339829
2015,45,0.05219905288523767
2015,46,0.15728961834356547
2015,47,0.03748637372107178
2015,48,0.055351769848987514
2015,49,0.2277002972006451
2015,50,0.06270810943107046
2015,51,0.0847771281773193
2015,52,0.09633709037773536
2015,53,0.1993258445268966
2015,54,0.07426807163148652
2015,55,0.033282751102738664
2015,56,0.07426807163148652
2015,57,0.05219905288523767
2015,58,0.1898676936356471
2015,59,0.07531897728606979
2015,60,0.08898075079565242
2015,61,0.3107218439127241
2015,62,0.058504486812737344
2015,63,0.15203509007064908
2015,64,0.04799543026690456
2015,65,0.07742078859523635
2015,66,0.3159763721856405
2015,67,0.3117727495673074
2015,68,0.27919467427522576
2015,69,0.1961731275631468
2015,70,0.09528618472315208
2015,71,0.26658380642022644
2015,72,0.046944524612321285
2015,73,0.12996607132440025
2015,74,0.04168999633940489
2015,75,0.08267531686815274
2015,76,0.033282751102738664
2015,77,0.10579524126898486
